Part,Quantity,Price per piece (with tax) in Euros,Total price for part/s (with tax) in Euros,Link to store
M3x16 screw,100, 0.03 € , 2.28 € ,https://www.tme.eu/sk/details/m3x16_iso7380-1-a2/skrutky/kraftberg/
M3 safety nut,100, 0.02 € , 1.73 € ,https://www.tme.eu/sk/details/b3_bn161/matice/bossard/1094904/
M3 washer,100, 0.01 € , 1.00 € ,https://www.tme.eu/sk/details/b3_bn1074/podlozky/bossard/1404830/
M3x35 screw,100, 0.07 € , 6.62 € ,https://www.tme.eu/sk/details/b3x35_bn611/skrutky/bossard/1208101/
Indicator LED,1, 3.21 € , 2.61 € ,https://www.tme.eu/sk/details/mpr3hdw12.0/led-kontrolky/bivar/
N20 12v 500rpm motor,2, 4.70 € , 9.40 € ,https://techfun.sk/produkt/dc-motorcek-s-prevodom-rozne-typy/
MX1508 motor driver,1, 1.15 € , 1.15 € ,https://techfun.sk/produkt/motor-driver-smd-mx1508-1-5a-pre-dva-motorceky/
2-6s 45A ESC,1, 11.99 € , 11.99 € ,https://www.rotorama.com/product/readytosky-45a-2-6s-blheli-s
450mAh 2s Li-Po battery,3, 5.79 € , 17.37 € ,https://www.rotorama.com/product/cnhl-ministar-hv-450mah-2s-70c
BEC 5V 3A,1, 1.99 € , 1.99 € ,https://www.rotorama.com/product/cnhl-ministar-hv-450mah-2s-70c
ELRS PWM 4channel receiver,1, 17.69 € , 17.69 € ,https://www.rotorama.com/product/radiomaster-er4-elrs-pwm-4ch
XT30 connector,2, 1.19 € , 2.38 € ,https://www.rotorama.com/product/xt30-konektory-1-par
Battery low voltage alarm,1, 2.67 € , 2.67 € ,https://allegro.sk/ponuka/alarm-tester-v2-digitalne-napatie-li-pol-2-8s-buzzer-18605835679
Red 18 AWG 1m silicone wire,1, 0.79 € , 0.79 € ,https://allegro.sk/ponuka/silikonovy-kabel-amass-18-awg-1-m-pruzny-cerveny-18343318873
Black 18 AWG 1m silicone wire,1, 0.79 € , 0.79 € ,https://allegro.sk/ponuka/silikonovy-kabel-amass-18-awg-1-m-pruzny-cierny-18343316708
60cm metal ruler,1, 2.34 € , 2.34 € ,https://allegro.sk/ponuka/pravitko-z-ocele-60-cm-meracia-linka-ocelova-linka-600-mm-18567450608
Arduino nano,1, 3.90 € , 3.90 € ,https://allegro.sk/ponuka/mikropocitac-arduino-nano-v3-0-atmega328p-javorovy-port-usb-c-0238-18300756068
2204 2300KV brushless motor,1, 10.17 € , 10.17 € ,https://allegro.sk/ponuka/mt2204-2300kv-bezkartacovy-motor-12a-m5x12mm-vrtula-servo-sada-18219516634
1kg of white TPU filament,1, 15.59 € , 15.59 € ,https://www.alza.sk/elegoo-rapid-tpu-95a-white-1kg-d13060626.htm
3D Prints,1, ? , ? ,Printing legion
Tme.eu DPH tax,1, 4.23 € , 4.23 € ,
Tme.eu shipping,1, 7.25 € , 7.25 € ,
Techfun.sk shipping,1, 3.00 € , 3.00 € ,
Rotorama.com shipping,1, 6.00 € , 6.00 € ,
Allegro.sk shipping,1, 9.16 € , 9.16 € ,
Total price,,, 152.29 € ,
